Albania,1010889,09.07.2019,OM UK
Algeria,Total refusal,,OM UK
Armenia,1010889,09.07.2019,OM UK
Azerbaijan,1010889,09.07.2019,OM UK
Belarus,1010889,09.07.2019,OM UK
Bosnia and Herzegovina,1010889,09.07.2019,OM UK
Bulgaria,70660,12.12.2017,OM UK
China,Total refusal,,OM UK
Croatia,1010889,09.07.2019,OM UK
Cyprus,Total refusal,,OM UK
Egypt,1010889,09.07.2019,OM UK
Georgia,1010889,09.07.2019,OM UK
Greece,2027/2012,02.04.2022,OM UK
Iran,1010889,09.07.2019,OM UK
Iraq,Pending,,Hristo
Japan,Payment of second part,10.06.2016,OM UK
Kazakhstan,Total prov.refusal,,OM UK
Kyrgyzstan,1010889,09.07.2019,OM UK
Macedonia,1010889,09.07.2019,OM UK
Moldova,1010889 for 34,09.07.2019,OM UK
Montenegro,1010889,09.07.2019,OM UK
Morocco,1010889,09.07.2019,OM UK
Oman,1010889,09.07.2019,OM UK
Russia,1010889,09.07.2019,OM UK
San Marino,1010889,09.07.2019,OM UK
Serbia,1010889,09.07.2019,OM UK
Sudan,1010889,09.07.2019,OM UK
Switzerland,Total refusal,,OM UK
Syria,Total prov.refusal,,OM UK
Tajikistan,1010889,09.07.2019,OM UK
Turkey,1010889,09.07.2019,OM UK
Turkmenistan,1010889,09.07.2019,OM UK
Ukraine,1010889,09.07.2019,OM UK
United Arab Emirates,181442/4.11.2012,,OM BVI
USA,Refusal,,OM UK
Uzbekistan,Refusal,,OM UK
Vietnam,1010889,09.07.2019,OM UK
