Albania,,,OM BVO,
Algeria,DZ/T/2016/001006 ,,Hristo,EIPS
Armenia,,,OM BVO,
Austria,1239757,05.09.2024,OM BVO,
Azerbaijan,,,OM BVO,
Bosnia and Herzegovina,,,OM BVO,
Bahrain,,,OM BVO,
Belarus,1239757,05.09.2024,OM BVO,
Benelux,1239757,05.09.2024,OM BVO,
Botswana,,,OM BVO,
Bulgaria,90118,06.03.2024,OM BVO,
China,,,OM BVO,Earlier EXCELSIOR word
Croatia,1239757,05.09.2024,OM BVO,
Cyprus,,,OM BVO,earlier EXCELSIOR comb
Czech Republic,,,OM BVO,earlier EXCELSIOR word
Denmark,1239757,05.09.2024,OM BVO,
Estonia,,,OM BVO,
Egypt,,,OM BVO,
Finland,,,OM BVO,
France,1239757,05.09.2024,OM BVO,
Georgia,,,OM BVO,
Germany,1239757,05.09.2024,OM BVO,
Ghana,,,OM BVO,
Greece,,,OM BVO,
Hungary,1239757,05.09.2024,OM BVO,
Iceland,1239757,05.09.2024,OM BVO,
Ireland,1239757,05.09.2024,OM BVO,
Israel,,,OM BVO,
India,,,OM BVO,
Iran,,,OM BVO,
Iraq,71710/10.02.2016,,Hristo,EIPS
Italy,,,OM BVO,
Japan,,,OM BVO,Earlier
Kenya,,,OM BVO,
Kyrgyzstan,,05.09.2024,OM BVO,
DPR Korea,,,OM BVO,descriptive
Korea,,,OM BVO,earlier EXCELSIOR comb
Kazakhstan,1239757,05.09.2024,OM BVO,
Kuwait,178080/03.03.2016,,Hristo,EIPS
Lesotho,,,OM BVO,
Liberia,,,OM BVO,
Lithuania,1239757,05.09.2024,OM BVO,
Latvia,1239757,05.09.2024,OM BVO,
Macedonia,,,OM BVO,
Malawi,,,OM BVO,
Morocco,1239757,05.09.2024,OM BVO,
Moldova,1239757,05.09.2024,OM BVO,
Montenegro,,,OM BVO,
Namibia,,,OM BVO,
Nigeria,,,OM BVO,Marcaria
Norway,1239757,05.09.2024,OM BVO,
OAPI,,,OM BVO,
Oman,,,OM BVO,
Philippines,,,OM BVO,Earlier
Poland,,,OM BVO,
Portugal,1239757,05.09.2024,OM BVO,
Serbia,,,OM BVO,
Spain,1239757,05.09.2024,OM BVO,
Romania,1239757,05.09.2024,OM BVO,
Russia,1239757,05.09.2024,OM BVO,
Rwanda,1239757,05.09.2024,OM BVO,
Saudi Arabia,,,Hristo,EIPS
South Africa,,,OM BVI,
Sudan,,,OM BVO,
Swaziland,,,OM BVO,
Sweden,,,OM BVO,
Singapore,1239757,05.09.2024,OM BVO,
Slovenia,1239757,05.09.2024,OM BVO,
Slovakia,1239757,05.09.2024,OM BVO,
Sierra Leone,,,OM BVO,
Syria,,,OM BVO,
Tajikistan,1239757,05.09.2024,OM BVO,
Tanzania,,,OM BVO,
Turkmenistan,,,OM BVO,
Tunisia,,,OM BVO,
Turkey,,,OM BVO,
Uganda,,,OM BVO,
Ukraine,,,OM BVO,
United Arab Emirates,239142,24.08.2025,OM BVO,
United Kingdom (UK),1239757,05.09.2024,OM BVO,
Uzbekistan,,,OM BVO,
Vietnam,,,OM BVO,
Zambia,,,OM BVO,
Zimbabwe,,,OM BVO,
