Austria,10838936,26.04.2022,OM BVI,
Belgium,10838936,26.04.2022,OM BVI,
Botswana,,,OM BVI,
Bulgaria,10838936,26.04.2022,OM BVI,
Cyprus,10838936,26.04.2022,OM BVI,
Czech Republic,10838936,26.04.2022,OM BVI,
Denmark,10838936,26.04.2022,OM BVI,
Estonia,10838936,26.04.2022,OM BVI,
Finland,10838936,26.04.2022,OM BVI,
France,10838936,26.04.2022,OM BVI,
Germany,10838936,26.04.2022,OM BVI,
Greece,10838936,26.04.2022,OM BVI,
Hungary,10838936,26.04.2022,OM BVI,
Iraq,/25.09.2012,,Hristo,
Ireland,10838936,26.04.2022,OM BVI,
Italy,10838936,26.04.2022,OM BVI,
Latvia,10838936,26.04.2022,OM BVI,
Lesotho,,,OM BVI,
Liberia,,,OM BVI,
Lithuania,10838936,26.04.2022,OM BVI,
Luxembourg,10838936,26.04.2022,OM BVI,
Malawi,,,OM BVI,
Malta,10838936,26.04.2022,OM BVI,
Namibia,,,OM BVI,
Nigeria,,,OM BVO,Marcaria
Netherlands,10838936,26.04.2022,OM BVI,
OAPI,,,OM BVI,
Poland,10838936,26.04.2022,OM BVI,
Portugal,10838936,26.04.2022,OM BVI,
Romania ,10838936,26.04.2022,OM BVI,
Slovakia,10838936,26.04.2022,OM BVI,
Slovenia,10838936,26.04.2022,OM BVI,
Spain,10838936,26.04.2022,OM BVI,
Swaziland,,,OM BVI,
Sweden,10838936,26.04.2022,OM BVI,
Tanzania,,,OM BVI,
Uganda,,,OM BVI,
United Arab Emirates,216088/18.08.2014,,OM BVO,
United Kingdom (UK),10838936,26.04.2022,OM BVI,
Zimbabwe,,,OM BVI,
