Albania,1080863,24.03.2021,OM UK,
Armenia,1080863,24.03.2021,OM UK,
Austria,1080863,24.03.2021,OM UK,
Azerbaijan,1080863,24.03.2021,OM UK,
Bahrain,1080863,24.03.2021,OM UK,
Belarus,1080863,24.03.2021,OM UK,
Belgium,1080863,24.03.2021,OM UK,
Bosnia and Herzegovina,1080863,24.03.2021,OM UK,
Bulgaria,117406,13.12.2020,OM UK,
China,1080863 for 34,24.03.2021,OM UK,
Croatia,1080863,24.03.2021,OM UK,
Cyprus,1080863 for 34,24.03.2021,OM UK,
Czech Republic,1080863,24.03.2021,OM UK,
Denmark,1080863,24.03.2021,OM UK,
Egypt,1080863,24.03.2021,OM UK,
Estonia,1080863,24.03.2021,OM UK,
Finland,1080863,24.03.2021,OM UK,
France,1080863,24.03.2021,OM UK,
Georgia,1080863,24.03.2021,OM UK,
Germany,1080863,24.03.2021,OM UK,
Greece,1080863 ?,24.03.2021,OM UK,
Hungary,1080863,24.03.2021,OM UK,
Iceland,1080863 for 35,24.03.2021,OM UK,
Iran,Prov.refusal,,OM UK,
Ireland,1080863,24.03.2021,OM UK,
Italy,1080863,24.03.2021,OM UK,
Kazakhstan,1080863,24.03.2021,OM UK,
Kyrgyzstan,1080863,24.03.2021,OM UK,
Latvia,1080863,24.03.2021,OM UK,
Liechtenstein,1080863,24.03.2021,OM UK,
Lithuania,1080863,24.03.2021,OM UK,
Luxembourg,1080863,24.03.2021,OM UK,
Macedonia,1080863,24.03.2021,OM UK,
Moldova,1080863,24.03.2021,OM UK,
Monaco,1080863,24.03.2021,OM UK,
Montenegro,1080863,24.03.2021,OM UK,
Morocco,1080863,24.03.2021,OM UK,
Netherlands,1080863,24.03.2021,OM UK,
Nigeria,,,OM BVO,Marcaria
Norway,1080863,24.03.2021,OM UK,
OAPI,,24.10.2021,Teleman,
Oman,1080863,24.03.2021,OM UK,
Peru,Refusal,,,
Poland,1080863,24.03.2021,OM UK,
Portugal,Refusal,,,
Romania ,1080863,24.03.2021,OM UK,
Russia,1080863 for 34,24.03.2021,OM UK,
San Marino,1080863,24.03.2021,OM UK,
Saudi Arabia,1436019482,11.03.2025,Hristo,NOBILITAS OBLIGAT LEGATE/12.03.2014
Serbia,1080863,24.03.2021,OM UK,
Singapore,1080863,24.03.2021,OM UK,
Slovakia,1080863,24.03.2021,OM UK,
Slovenia,1080863,24.03.2021,OM UK,
Spain,1080863,24.03.2021,OM UK,
Sudan,1080863,24.03.2021,OM UK,
Sweden,1080863,24.03.2021,OM UK,
Switzerland,1080863,24.03.2021,OM UK,
Syria,1080863,24.03.2021,OM UK,
Turkey,1080863,24.03.2021,OM UK,
Turkmenistan,1080863,24.03.2021,OM UK,
Ukraine,1080863,24.03.2021,OM UK,
United Arab Emirates,Refusal,,OM BVI,
United Kingdom (UK),1080863,24.03.2021,OM UK,
USA,1080863,24.03.2021,OM UK,For tobbacco. DoU between Feb 2017 and Feb 2018
Uzbekistan,1080863,24.03.2021,OM UK,
Vietnam,1080863,24.03.2021,OM UK,
