Albania,,,OM BVI,
Algeria,695/12.02.2015,,Hristo,
Armenia,,,OM BVI,
Austria,,,OM BVI,
Azerbaijan,,,OM BVI,
Bosnia and Herzegovina,,,OM BVI,
Bulgaria,134781,20.11.2024,OM BVO,
Bahrain,,,OM BVO,
Belarus,,,OM BVO,
Benelux,,,OM BVO,
China,,,OM BVO,
Croatia,,,OM BVO,
Cyprus,,,OM BVO,
Czech Republic,,,OM BVO,
Denmark,,,OM BVO,
Egypt,,,OM BVO,
Estonia,,,OM BVO,
Finland,,,OM BVO,
France,,,OM BVO,
Georgia,,,OM BVO,
Germany,,,OM BVO,
Ghana,,,OM BVO,
Greece,,,OM BVI,
Hungary,,,OM BVO,
Iceland,,,OM BVO,
Ireland,,,OM BVO,
Israel,,,OM BVO,
India,,,OM BVO,
Iraq,,,Hristo,
Iran,,,OM BVO,
Italy,,,OM BVO,
Japan,,,OM BVI,
Kenya,,,OM BVO,
Kyrgyzstan,,,OM BVO,
DPR Korea,,,OM BVO,
Korea,,,OM BVO,
Kazakhstan,,,OM BVO,
Kuwait,167229/16.04.2015,,Hristo,
Lebanon,166122,30.05.2030,Hristo,
Liberia,,,OM BVO,
Lithuania,,,OM BVO,
Latvia,,,OM BVO,
Macedonia,,,OM BVI,
Morocco,,,OM BVO,
Moldova,,,OM BVO,
Montenegro,,,OM BVO,
Namibia,,,OM BVO,
Nigeria,,,OM BVO,Marcaria
Norway,,,OM BVO,
Oman,,,OM BVO,
Philippines,,,OM BVO,
Poland,,,OM BVO,
Portugal,,,OM BVO,
Saudi Arabia,1436018389,24.02.2025,Hristo,
South Africa,,,OM BVI,
Serbia,,,OM BVO,
Spain,,,OM BVO,
Russia,,,OM BVO,
Rwanda,,,OM BVO,
Sudan,,,OM BVO,
Sweden,,,OM BVO,
Singapore,,,OM BVO,
Slovenia,,,OM BVO,
Slovakia,,,OM BVO,
Sierra Leone,,,OM BVO,
Syria,,,OM BVO,
Tajikistan,,,OM BVO,
Turkmenistan,,,OM BVO,
Tunisia,,,OM BVO,
Turkey,,,OM BVO,
Ukraine,,,OM BVO,
United Arab Emirates,28/10/2014,,OM BVI,"no ""for beauties"""
USA,Withdrawn,,OM BVI,Agreement with STELLA McCartney
United Kingdom (UK),,,OM BVO,
Uzbekistan,,,OM BVO,
Zambia,,,OM BVO,
